radius in um, AP_vert, HTPB_vert, Interface_vert
120, 84.34065833333332, 14.698875000000001, 0.9604666666666666
120, 83.66249722222221, 15.409283333333335, 0.9282194444444444
120, 83.76463611111112, 15.298769444444444, 0.9365944444444444
120, 83.88241944444445, 15.141655555555555, 0.975925
120, 84.12950277777777, 14.921761111111111, 0.9487361111111111
120, 84.53607222222223, 14.49120277777778, 0.972725
120, 84.32283888888888, 14.76232222222222, 0.9148388888888889
120, 83.40899722222223, 15.65670277777778, 0.9343
120, 84.34338055555556, 14.747619444444442, 0.909
120, 84.390825, 14.673022222222224, 0.9361527777777777
