radius in um, AP_vert, HTPB_vert, Interface_vert
500, 36.86351776123047, 57.1141242980957, 6.022357940673828
502, 36.939334869384766, 57.27348327636719, 5.787181854248047
505, 36.933231353759766, 57.23409652709961, 5.832672119140625
507, 37.1302604675293, 57.41996765136719, 5.449771881103516
510, 37.0265007019043, 57.28607177734375, 5.687427520751953
512, 37.09402084350586, 57.405757904052734, 5.500221252441406
515, 36.86227798461914, 57.134437561035156, 6.003284454345703
517, 37.11137771606445, 57.35454559326172, 5.534076690673828
520, 37.04948425292969, 57.28921890258789, 5.661296844482422
522, 37.09440231323242, 57.38391876220703, 5.521678924560547
525, 36.99960708618164, 57.15436935424805, 5.8460235595703125
527, 37.16535568237305, 57.266807556152344, 5.567836761474609
530, 37.02678680419922, 57.3491096496582, 5.624103546142578
532, 37.11080551147461, 57.410335540771484, 5.478858947753906
535, 37.131595611572266, 57.42349624633789, 5.444908142089844
537, 37.16106414794922, 57.43980407714844, 5.399131774902344
540, 37.200164794921875, 57.48329162597656, 5.3165435791015625
542, 37.11223602294922, 57.440185546875, 5.447578430175781
545, 37.2004508972168, 57.52286911010742, 5.276679992675781
547, 37.18557357788086, 57.38325119018555, 5.431175231933594
550, 37.062740325927734, 57.28721618652344, 5.650043487548828
552, 37.18461990356445, 57.51008987426758, 5.305290222167969
555, 37.27836608886719, 57.57007598876953, 5.151557922363281
557, 37.26177215576172, 57.53173828125, 5.206489562988281
560, 37.24021911621094, 57.53583908081055, 5.223941802978516
562, 37.30459213256836, 57.60974884033203, 5.085659027099609
565, 37.27588653564453, 57.524776458740234, 5.199337005615234
567, 37.21141815185547, 57.47480392456055, 5.313777923583984
570, 37.13836669921875, 57.3979377746582, 5.463695526123047
572, 37.352943420410156, 57.60030746459961, 5.046749114990234
575, 37.26682662963867, 57.499122619628906, 5.234050750732422
577, 37.14256286621094, 57.39879608154297, 5.458641052246094
580, 37.366485595703125, 57.578182220458984, 5.055332183837891
582, 37.40091323852539, 57.721519470214844, 4.877567291259766
585, 37.380409240722656, 57.677555084228516, 4.942035675048828
587, 37.281036376953125, 57.60822296142578, 5.110740661621094
590, 37.44916915893555, 57.75651931762695, 4.7943115234375
592, 37.48912811279297, 57.55414962768555, 4.956722259521484
595, 37.66298294067383, 57.714080810546875, 4.622936248779297
597, 37.49113082885742, 57.68232345581055, 4.826545715332031
600, 37.3138427734375, 57.59258270263672, 5.093574523925781
603, 37.487220764160156, 57.71799087524414, 4.794788360595703
605, 37.52107620239258, 57.8120231628418, 4.666900634765625
608, 37.430572509765625, 57.740211486816406, 4.829216003417969
610, 37.38718032836914, 57.60679244995117, 5.0060272216796875
613, 37.4354362487793, 57.73601531982422, 4.828548431396484
615, 37.526607513427734, 57.85369873046875, 4.619693756103516
618, 37.369537353515625, 57.70244598388672, 4.928016662597656
620, 37.4873161315918, 57.790279388427734, 4.722404479980469
623, 37.447357177734375, 57.73420333862305, 4.818439483642578
625, 37.507057189941406, 57.660579681396484, 4.832363128662109
628, 37.57772445678711, 57.77568817138672, 4.646587371826172
630, 37.56093978881836, 57.861995697021484, 4.577064514160156
633, 37.572383880615234, 57.733917236328125, 4.693698883056641
635, 37.71381378173828, 57.92436599731445, 4.361820220947266
638, 37.5666618347168, 57.82661437988281, 4.606723785400391
640, 37.47444152832031, 57.79743194580078, 4.728126525878906
643, 37.581634521484375, 57.947349548339844, 4.471015930175781
645, 37.66889572143555, 57.860755920410156, 4.470348358154297
648, 37.54386901855469, 57.811927795410156, 4.644203186035156
650, 37.54091262817383, 57.82270431518555, 4.636383056640625
653, 37.69092559814453, 57.79733657836914, 4.511737823486328
655, 37.71648406982422, 57.945823669433594, 4.3376922607421875
658, 37.67986297607422, 57.92646408081055, 4.393672943115234
660, 37.61091232299805, 57.84006118774414, 4.5490264892578125
663, 37.582969665527344, 57.90815353393555, 4.508876800537109
665, 37.673187255859375, 57.92522430419922, 4.401588439941406
668, 37.735557556152344, 57.9340934753418, 4.330348968505859
670, 37.743282318115234, 57.92522430419922, 4.331493377685547
673, 37.59918212890625, 57.882022857666016, 4.518795013427734
675, 37.664794921875, 57.90910720825195, 4.426097869873047
678, 37.74118423461914, 58.04548263549805, 4.2133331298828125
680, 37.690067291259766, 57.8089714050293, 4.5009613037109375
683, 37.67251968383789, 57.91444778442383, 4.413032531738281
685, 37.718963623046875, 58.04901123046875, 4.232025146484375
688, 37.73841857910156, 57.979774475097656, 4.281806945800781
690, 37.790775299072266, 58.03403854370117, 4.1751861572265625
693, 37.654972076416016, 57.877349853515625, 4.467678070068359
695, 37.75501251220703, 58.00619125366211, 4.238796234130859
698, 37.830257415771484, 58.035945892333984, 4.133796691894531
701, 37.7049446105957, 57.997894287109375, 4.297161102294922
703, 37.65363693237305, 57.9493522644043, 4.397010803222656
706, 37.66670227050781, 57.952213287353516, 4.381084442138672
708, 37.75453567504883, 58.07647705078125, 4.168987274169922
711, 37.810707092285156, 58.04176330566406, 4.147529602050781
713, 37.769508361816406, 58.069610595703125, 4.160881042480469
716, 37.86458969116211, 57.9289436340332, 4.2064666748046875
718, 37.77303695678711, 58.065032958984375, 4.161930084228516
721, 37.71038055419922, 57.99379348754883, 4.295825958251953
723, 37.79115676879883, 58.01191329956055, 4.196929931640625
726, 37.79258728027344, 58.01515579223633, 4.192256927490234
728, 37.8687858581543, 58.08286666870117, 4.048347473144531
731, 37.766361236572266, 58.049583435058594, 4.184055328369141
733, 37.83245086669922, 58.099937438964844, 4.0676116943359375
736, 37.862396240234375, 57.94239044189453, 4.195213317871094
