radius in um, AP_vert, HTPB_vert, Interface_vert
500, 52.950477600097656, 43.1239128112793, 3.925609588623047
502, 52.98128128051758, 43.152427673339844, 3.866291046142578
505, 52.94933319091797, 43.12601089477539, 3.9246559143066406
507, 52.927589416503906, 43.111324310302734, 3.9610862731933594
510, 52.997684478759766, 43.1544303894043, 3.8478851318359375
512, 52.94046401977539, 43.11714172363281, 3.942394256591797
515, 53.02248001098633, 43.17502975463867, 3.802490234375
517, 52.99978256225586, 43.16844940185547, 3.831768035888672
520, 53.00865173339844, 43.18990707397461, 3.801441192626953
522, 53.015708923339844, 43.183040618896484, 3.801250457763672
525, 53.08837890625, 43.2373046875, 3.67431640625
527, 53.0604362487793, 43.22347640991211, 3.7160873413085938
530, 53.086185455322266, 43.23453903198242, 3.6792755126953125
532, 53.064632415771484, 43.22004318237305, 3.7153244018554688
535, 53.04889678955078, 43.215370178222656, 3.7357330322265625
537, 53.034210205078125, 43.175601959228516, 3.7901878356933594
540, 53.06205749511719, 43.218135833740234, 3.719806671142578
542, 53.02629470825195, 43.18399429321289, 3.7897109985351562
545, 53.11298370361328, 43.27669143676758, 3.6103248596191406
547, 53.06396484375, 43.22338104248047, 3.7126541137695312
550, 53.08380126953125, 43.22776794433594, 3.6884307861328125
552, 53.124332427978516, 43.25389862060547, 3.6217689514160156
555, 53.14016342163086, 43.26133728027344, 3.598499298095703
557, 53.13825607299805, 43.28012466430664, 3.5816192626953125
560, 53.13425064086914, 43.27249526977539, 3.5932540893554688
562, 53.07483673095703, 43.24932098388672, 3.67584228515625
565, 53.148841857910156, 43.290138244628906, 3.5610198974609375
567, 53.15704345703125, 43.27430725097656, 3.5686492919921875
570, 53.11927795410156, 43.25857162475586, 3.622150421142578
572, 53.174495697021484, 43.31846237182617, 3.5070419311523438
575, 53.11269760131836, 43.25265884399414, 3.6346435546875
577, 53.19061279296875, 43.33524703979492, 3.474140167236328
580, 53.15589904785156, 43.28107833862305, 3.5630226135253906
582, 53.18470001220703, 43.302345275878906, 3.5129547119140625
585, 53.19814682006836, 43.3375358581543, 3.4643173217773438
587, 53.20243835449219, 43.349266052246094, 3.4482955932617188
590, 53.251075744628906, 43.390750885009766, 3.358173370361328
592, 53.24745178222656, 43.349361419677734, 3.403186798095703
595, 53.228187561035156, 43.36977005004883, 3.4020423889160156
597, 53.155517578125, 43.288230895996094, 3.5562515258789062
600, 53.2536506652832, 43.389034271240234, 3.3573150634765625
603, 53.28207015991211, 43.37892532348633, 3.3390045166015625
605, 53.27186584472656, 43.428993225097656, 3.2991409301757812
608, 53.20453643798828, 43.35775375366211, 3.4377098083496094
610, 53.281402587890625, 43.38665008544922, 3.3319473266601562
613, 53.278160095214844, 43.40934753417969, 3.3124923706054688
615, 53.24726104736328, 43.37005615234375, 3.3826828002929688
618, 53.236961364746094, 43.369197845458984, 3.393840789794922
620, 53.26995849609375, 43.410491943359375, 3.319549560546875
623, 53.28502655029297, 43.40219497680664, 3.3127784729003906
625, 53.349971771240234, 43.4514045715332, 3.1986236572265625
628, 53.31277847290039, 43.43395233154297, 3.2532691955566406
630, 53.288841247558594, 43.40648651123047, 3.3046722412109375
633, 53.33213806152344, 43.44949722290039, 3.218364715576172
635, 53.31459045410156, 43.43423843383789, 3.251171112060547
638, 53.287410736083984, 43.4234619140625, 3.2891273498535156
640, 53.30638885498047, 43.4138298034668, 3.2797813415527344
643, 53.33700180053711, 43.4666633605957, 3.1963348388671875
645, 53.3050537109375, 43.450069427490234, 3.2448768615722656
648, 53.331756591796875, 43.45369338989258, 3.214550018310547
650, 53.34196090698242, 43.46017837524414, 3.1978607177734375
653, 53.36284637451172, 43.473052978515625, 3.1641006469726562
655, 53.35826873779297, 43.4687614440918, 3.1729698181152344
658, 53.33967208862305, 43.47496032714844, 3.1853675842285156
660, 53.362464904785156, 43.49641799926758, 3.1411170959472656
663, 53.38459014892578, 43.49555969238281, 3.1198501586914062
665, 53.40290069580078, 43.51186752319336, 3.0852317810058594
668, 53.37400436401367, 43.48268508911133, 3.143310546875
670, 53.38859558105469, 43.51968765258789, 3.091716766357422
673, 53.35712432861328, 43.48459243774414, 3.158283233642578
675, 53.388023376464844, 43.5084342956543, 3.1035423278808594
678, 53.37820053100586, 43.48421096801758, 3.1375885009765625
680, 53.40871810913086, 43.547821044921875, 3.0434608459472656
683, 53.3961296081543, 43.52273941040039, 3.0811309814453125
685, 53.41062545776367, 43.5175895690918, 3.0717849731445312
688, 53.37963104248047, 43.50166320800781, 3.1187057495117188
690, 53.41310501098633, 43.51778030395508, 3.0691146850585938
693, 53.40909957885742, 43.50700378417969, 3.0838966369628906
695, 53.44820022583008, 43.549537658691406, 3.0022621154785156
698, 53.38335037231445, 43.49946975708008, 3.1171798706054688
701, 53.42826843261719, 43.54286193847656, 3.02886962890625
703, 53.453731536865234, 43.5694694519043, 2.9767990112304688
706, 53.402042388916016, 43.50786209106445, 3.0900955200195312
708, 53.426456451416016, 43.5328483581543, 3.0406951904296875
711, 53.40900421142578, 43.50900650024414, 3.081989288330078
713, 53.48320007324219, 43.58539581298828, 2.9314041137695312
716, 53.417205810546875, 43.51778030395508, 3.065013885498047
718, 53.443050384521484, 43.54820251464844, 3.008747100830078
721, 53.44686508178711, 43.54362487792969, 3.009510040283203
723, 53.43484878540039, 43.54057312011719, 3.024578094482422
726, 53.37820053100586, 43.492698669433594, 3.129100799560547
728, 53.447723388671875, 43.55964660644531, 2.9926300048828125
731, 53.476715087890625, 43.60227584838867, 2.921009063720703
