AP_achieved, Avg Radius (um), Interface Experimental, Interface from Eq., Eq. Margin of Error
58.046190440654755, 57, 13.775253295898438, 13.2166205333085, 4.055335684870995
51.38413608074188, 103, 6.670665740966797, 7.00516860429353, 5.014534925239005
54.092010855674744, 103, 7.088279724121094, 7.687131628533606, 8.448480135097475
57.35860913991928, 57, 13.391494750976562, 12.944820712332728, 3.3355054603688754
49.02146756649017, 94, 6.537723541259766, 6.658050263910191, 1.8404987896939926
50.154756009578705, 136, 6.257343292236328, 6.75357707394744, 7.930422841380687
55.51772266626358, 128, 7.030487060546875, 8.02656726765806, 14.168011384316564
42.45139807462692, 93, 5.54046630859375, 5.270283687035224, 4.876532163717857
50.97937732934952, 66, 9.482002258300781, 9.496412922902614, 0.15197913066533475
48.6008495092392, 99, 6.313419342041016, 6.4253254906588495, 1.7725125253862293
57.30585157871246, 92, 8.045768737792969, 8.822283048321808, 9.651213399676264
58.47384184598923, 88, 8.496475219726562, 9.290291613902703, 9.342890712293364
51.36457234621048, 57, 11.502838134765625, 11.399772930948352, 0.8959980363956781
47.61258661746979, 57, 10.335350036621094, 10.450669210513212, 1.1157742455118527
48.87617081403732, 91, 6.583309173583984, 6.7074066099684515, 1.8850312678981764
46.05090469121933, 73, 7.532978057861328, 7.462004270186426, 0.942174358265046
50.073203444480896, 46, 14.385318756103516, 14.507399556705153, 0.8486485608797479
50.70219933986664, 64, 9.751319885253906, 9.723038463040709, 0.29002660712592465
53.03849130868912, 94, 7.213592529296875, 7.605378484939905, 5.431218273722183
48.36212992668152, 80, 7.211589813232422, 7.2417390909038275, 0.4180670067518987
